startTime,encoder,mode_is
*** 00:03:42,0,0
*** 00:04:31,1,0
*** 00:08:02,2,0
*** 00:09:48,3,0
*** 00:09:52,4,0
*** 00:11:55,5,0
*** 00:13:47,6,0
*** 00:14:56,7,0
*** 00:15:24,8,0
*** 00:16:47,9,0
*** 00:17:12,10,0
*** 00:18:44,11,0
*** 00:20:09,12,0
*** 00:20:13,13,0
*** 00:20:16,14,0
*** 00:20:48,15,0
*** 00:24:46,16,0
*** 00:25:14,17,0
*** 00:33:46,18,0
*** 00:34:30,19,0
*** 00:34:36,20,0
*** 00:39:08,21,0
*** 00:46:26,22,0
*** 00:52:08,23,0
*** 00:53:43,24,0
*** 00:53:54,25,0
*** 00:56:27,26,0
*** 00:56:53,27,0
*** 01:03:43,28,0
*** 01:07:08,29,0
*** 01:08:11,30,0
*** 01:10:22,31,0
*** 01:15:05,32,0
*** 01:16:32,33,0
*** 01:17:26,34,0
*** 01:20:21,35,0
*** 01:26:13,36,0
*** 01:39:00,37,0
*** 01:43:47,38,0
*** 01:47:15,39,0
*** 01:48:02,40,0
*** 01:57:20,41,0
*** 02:03:48,42,0
*** 02:06:15,43,0
*** 02:10:56,44,0
*** 02:12:23,45,0
*** 02:20:23,46,0
*** 02:23:24,47,0
*** 02:29:42,48,0
*** 02:30:23,49,0
*** 02:32:37,50,0
*** 02:35:30,51,0
*** 02:40:22,52,0
*** 02:44:16,53,0
*** 02:49:22,54,0
*** 02:50:22,55,0
*** 02:51:14,56,0
*** 02:53:43,57,0
*** 02:54:29,58,0
*** 02:55:59,59,0
*** 03:04:46,60,0
*** 03:04:58,61,0
*** 03:08:40,62,0
*** 03:12:16,63,0
*** 03:14:57,64,0
*** 03:15:50,65,0
*** 03:17:04,66,0
*** 03:20:03,67,0
*** 03:20:56,68,0
*** 03:20:59,69,0
*** 03:25:19,70,0
*** 03:26:57,71,0
*** 03:34:36,72,0
*** 03:39:16,73,0
*** 03:48:00,74,0
*** 03:49:21,75,0
*** 03:51:49,76,0
*** 03:59:31,77,0
*** 04:00:35,78,0
*** 04:01:02,79,0
*** 04:01:55,80,0
*** 04:02:52,81,0
*** 04:04:37,82,0
*** 04:05:22,83,0
*** 04:05:44,84,0
*** 04:06:13,85,0
*** 04:06:23,86,0
*** 04:08:27,87,0
*** 04:08:31,88,0
*** 04:08:46,89,0
*** 04:10:07,90,0
*** 04:10:30,91,0
*** 04:12:39,92,0
*** 04:13:50,93,0
*** 04:14:56,94,0
*** 04:17:50,95,0
*** 04:18:43,96,0
*** 04:20:57,97,0
*** 04:25:27,98,0
*** 04:29:25,99,0
*** 04:33:44,100,0
*** 04:33:45,101,0
*** 04:35:33,102,0
*** 04:37:02,103,0
*** 04:37:25,104,0
*** 04:39:08,105,0
*** 04:40:14,106,0
*** 04:40:23,107,0
*** 04:40:49,108,0
*** 04:41:52,109,0
*** 04:47:04,110,0
*** 04:48:55,111,0
*** 04:50:56,112,0
*** 04:53:59,113,0
*** 04:55:54,114,0
*** 04:57:36,115,0
*** 04:57:41,116,0
*** 04:59:07,117,0
*** 05:00:19,118,0
*** 05:02:02,119,0
*** 05:03:19,120,0
*** 05:07:33,121,0
*** 05:10:14,122,0
*** 05:10:30,123,0
*** 05:12:22,124,0
*** 05:13:44,125,0
*** 05:18:56,126,0
*** 05:23:11,127,0
*** 05:24:44,128,0
*** 05:29:44,129,0
*** 05:30:23,130,0
*** 05:32:49,131,0
*** 05:39:19,132,0
*** 05:40:22,133,0
*** 05:40:23,134,0
*** 05:41:57,135,0
*** 05:56:05,136,0
*** 06:07:34,137,0
*** 06:15:38,138,0
*** 06:18:34,139,0
*** 06:18:43,140,0
*** 06:20:21,141,0
*** 06:21:17,142,0
*** 06:22:22,143,0
*** 06:29:45,144,0
*** 06:36:42,145,0
*** 06:46:50,146,0
*** 06:52:37,147,0
*** 06:53:15,148,0
*** 06:55:18,149,0
*** 06:57:34,150,0
*** 07:02:09,151,0
*** 07:04:30,152,0
*** 07:11:55,153,0
*** 07:13:33,154,0
*** 07:14:14,155,0
*** 07:34:29,156,0
*** 07:42:44,157,0
*** 07:45:19,158,0
*** 07:45:21,159,0
*** 07:50:20,160,0
*** 07:51:21,161,0
*** 07:57:25,162,0
*** 07:57:47,163,0
*** 08:01:31,164,0
*** 08:01:54,165,0
*** 08:04:25,166,0
*** 08:04:30,167,0
*** 08:06:16,168,0
*** 08:07:43,169,0
*** 08:08:01,170,0
*** 08:08:11,171,0
*** 08:09:03,172,0
*** 08:10:44,173,0
*** 08:10:48,174,0
*** 08:11:00,175,0
*** 08:11:14,176,0
*** 08:12:10,177,0
*** 08:12:14,178,0
*** 08:16:16,179,0
*** 08:16:52,180,0
*** 08:17:55,181,0
*** 08:21:51,182,0
*** 08:21:54,183,0
*** 08:22:18,184,0
*** 08:22:22,185,0
*** 08:22:27,186,0
*** 08:22:42,187,0
*** 08:23:35,188,0
*** 08:23:36,189,0
*** 08:24:09,190,0
*** 08:24:24,191,0
*** 08:24:25,192,0
*** 08:24:26,193,0
*** 08:24:27,194,0
*** 08:24:28,195,0
*** 08:24:29,196,0
*** 08:24:31,197,0
*** 08:24:36,198,0
*** 08:24:46,199,0
*** 08:25:05,200,0
*** 08:25:06,201,0
*** 08:25:11,202,0
*** 08:25:13,203,0
*** 08:25:16,204,0
*** 08:25:54,205,0
*** 08:25:58,206,0
*** 08:26:00,207,0
*** 08:26:02,208,0
*** 08:26:07,209,0
*** 08:26:10,210,0
*** 08:26:11,211,0
*** 08:26:29,212,0
*** 08:26:32,213,0
*** 08:27:03,214,0
*** 08:27:08,215,0
*** 08:27:09,216,0
*** 08:27:14,217,0
*** 08:27:15,218,0
*** 08:27:29,219,0
*** 08:27:36,220,0
*** 08:27:39,221,0
*** 08:27:57,222,0
*** 08:27:58,223,0
*** 08:27:59,224,0
*** 08:28:00,225,0
*** 08:28:01,226,0
*** 08:28:02,227,0
*** 08:28:03,228,0
*** 08:28:04,229,0
*** 08:28:05,230,0
*** 08:28:06,231,0
*** 08:28:07,232,0
*** 08:28:08,233,0
*** 08:28:09,234,0
*** 08:28:10,235,0
*** 08:28:11,236,0
*** 08:28:12,237,0
*** 08:28:13,238,0
*** 08:28:14,239,0
*** 08:28:15,240,0
*** 08:28:16,241,0
*** 08:28:17,242,0
*** 08:28:18,243,0
*** 08:28:19,244,0
*** 08:28:20,245,0
*** 08:28:21,246,0
*** 08:28:22,247,0
*** 08:28:23,248,0
*** 08:28:24,249,0
*** 08:28:25,250,0
*** 08:28:26,251,0
*** 08:28:27,252,0
*** 08:28:28,253,0
*** 08:28:29,254,0
*** 08:28:30,255,0
*** 08:28:31,256,0
*** 08:28:32,257,0
*** 08:28:33,258,0
*** 08:28:34,259,0
*** 08:28:35,260,0
*** 08:28:36,261,0
*** 08:28:37,262,0
*** 08:28:38,263,0
*** 08:28:39,264,0
*** 08:28:40,265,0
*** 08:28:41,266,0
*** 08:28:42,267,0
*** 08:28:43,268,0
*** 08:28:44,269,0
*** 08:28:45,270,0
*** 08:28:46,271,0
*** 08:28:47,272,0
*** 08:28:48,273,0
*** 08:28:49,274,0
*** 08:28:50,275,0
*** 08:28:51,276,0
*** 08:28:52,277,0
*** 08:28:53,278,0
*** 08:28:54,279,0
*** 08:28:55,280,0
*** 08:28:56,281,0
*** 08:28:57,282,0
*** 08:28:58,283,0
*** 08:28:59,284,0
*** 08:29:00,285,0
*** 08:29:01,286,0
*** 08:29:02,287,0
*** 08:29:03,288,0
*** 08:29:04,289,0
*** 08:29:05,290,0
*** 08:29:06,291,0
*** 08:29:07,292,0
*** 08:29:28,293,0
*** 08:29:38,294,0
*** 08:29:42,295,0
*** 08:29:49,296,0
*** 08:29:54,297,0
*** 08:29:55,298,0
*** 08:29:57,299,0
*** 08:30:03,300,0
*** 08:30:04,301,0
*** 08:30:10,302,0
*** 08:30:11,303,0
*** 08:30:12,304,0
*** 08:30:20,305,0
*** 08:30:22,306,0
*** 08:30:24,307,0
*** 08:30:26,308,0
*** 08:30:32,309,0
*** 08:30:33,310,0
*** 08:30:37,311,0
*** 08:30:38,312,0
*** 08:30:40,313,0
*** 08:30:41,314,0
*** 08:30:42,315,0
*** 08:30:44,316,0
*** 08:30:45,317,0
*** 08:30:46,318,0
*** 08:30:48,319,0
*** 08:30:49,320,0
*** 08:30:52,321,0
*** 08:30:55,322,0
*** 08:30:56,323,0
*** 08:30:57,324,0
*** 08:30:58,325,0
*** 08:30:59,326,0
*** 08:31:04,327,0
*** 08:31:05,328,0
*** 08:31:13,329,0
*** 08:31:14,330,0
*** 08:31:15,331,0
*** 08:31:16,332,0
*** 08:31:18,333,0
*** 08:31:21,334,0
*** 08:31:23,335,0
*** 08:31:24,336,0
*** 08:31:28,337,0
*** 08:31:30,338,0
*** 08:31:35,339,0
*** 08:31:37,340,0
*** 08:31:38,341,0
*** 08:31:41,342,0
*** 08:31:42,343,0
*** 08:31:49,344,0
*** 08:31:50,345,0
*** 08:31:51,346,0
*** 08:31:52,347,0
*** 08:31:53,348,0
*** 08:31:57,349,0
*** 08:32:02,350,0
*** 08:32:06,351,0
*** 08:32:08,352,0
*** 08:32:09,353,0
*** 08:32:11,354,0
*** 08:32:12,355,0
*** 08:32:13,356,0
*** 08:32:14,357,0
*** 08:32:15,358,0
*** 08:32:16,359,0
*** 08:32:17,360,0
*** 08:32:20,361,0
*** 08:32:21,362,0
*** 08:32:22,363,0
*** 08:32:23,364,0
*** 08:32:24,365,0
*** 08:32:25,366,0
*** 08:32:27,367,0
*** 08:32:28,368,0
*** 08:32:32,369,0
*** 08:32:34,370,0
*** 08:32:36,371,0
*** 08:32:37,372,0
*** 08:32:40,373,0
*** 08:32:41,374,0
*** 08:32:43,375,0
*** 08:32:44,376,0
*** 08:32:46,377,0
*** 08:32:47,378,0
*** 08:32:48,379,0
*** 08:32:50,380,0
*** 08:32:52,381,0
*** 08:32:53,382,0
*** 08:32:55,383,0
*** 08:32:56,384,0
*** 08:32:57,385,0
*** 08:32:58,386,0
*** 08:32:59,387,0
*** 08:33:00,388,0
*** 08:33:01,389,0
*** 08:33:03,390,0
*** 08:33:04,391,0
*** 08:33:06,392,0
*** 08:33:08,393,0
*** 08:33:09,394,0
*** 08:33:11,395,0
*** 08:33:16,396,0
*** 08:33:17,397,0
*** 08:33:18,398,0
*** 08:33:19,399,0
*** 08:33:20,400,0
*** 08:33:22,401,0
*** 08:33:24,402,0
*** 08:33:28,403,0
*** 08:33:33,404,0
*** 08:33:35,405,0
*** 08:33:37,406,0
*** 08:33:43,407,0
*** 08:33:44,408,0
*** 08:33:46,409,0
*** 08:33:47,410,0
*** 08:33:51,411,0
*** 08:33:52,412,0
*** 08:33:54,413,0
*** 08:33:55,414,0
*** 08:33:56,415,0
*** 08:33:57,416,0
*** 08:33:58,417,0
*** 08:34:00,418,0
*** 08:34:01,419,0
*** 08:34:02,420,0
*** 08:34:03,421,0
*** 08:34:05,422,0
*** 08:34:06,423,0
*** 08:34:07,424,0
*** 08:34:09,425,0
*** 08:34:11,426,0
*** 08:34:12,427,0
*** 08:34:14,428,0
*** 08:34:15,429,0
*** 08:34:17,430,0
*** 08:34:19,431,0
*** 08:34:20,432,0
*** 08:34:23,433,0
*** 08:34:24,434,0
*** 08:34:26,435,0
*** 08:34:27,436,0
*** 08:34:28,437,0
*** 08:34:32,438,0
*** 08:34:35,439,0
*** 08:34:36,440,0
*** 08:34:37,441,0
*** 08:34:40,442,0
*** 08:34:43,443,0
*** 08:34:44,444,0
*** 08:34:49,445,0
*** 08:34:50,446,0
*** 08:34:51,447,0
*** 08:34:52,448,0
*** 08:34:53,449,0
*** 08:34:54,450,0
*** 08:34:55,451,0
*** 08:34:56,452,0
*** 08:34:57,453,0
*** 08:34:58,454,0
*** 08:34:59,455,0
*** 08:35:00,456,0
*** 08:35:01,457,0
*** 08:35:02,458,0
*** 08:35:03,459,0
*** 08:35:04,460,0
*** 08:35:05,461,0
*** 08:35:06,462,0
*** 08:35:07,463,0
*** 08:35:08,464,0
*** 08:35:09,465,0
*** 08:35:10,466,0
*** 08:35:11,467,0
*** 08:35:12,468,0
*** 08:35:13,469,0
*** 08:35:14,470,0
*** 08:35:15,471,0
*** 08:35:16,472,0
*** 08:35:17,473,0
*** 08:35:18,474,0
*** 08:35:19,475,0
*** 08:35:20,476,0
*** 08:35:21,477,0
*** 08:35:23,478,0
*** 08:35:24,479,0
*** 08:35:25,480,0
*** 08:35:26,481,0
*** 08:35:27,482,0
*** 08:35:28,483,0
*** 08:35:29,484,0
*** 08:35:30,485,0
*** 08:35:31,486,0
*** 08:35:33,487,0
*** 08:35:34,488,0
*** 08:35:36,489,0
*** 08:35:38,490,0
*** 08:35:39,491,0
*** 08:35:40,492,0
*** 08:35:41,493,0
*** 08:35:42,494,0
*** 08:35:43,495,0
*** 08:35:45,496,0
*** 08:35:46,497,0
*** 08:35:49,498,0
*** 08:35:50,499,0
*** 08:35:51,500,0
*** 08:35:52,501,0
*** 08:35:53,502,0
*** 08:35:54,503,0
*** 08:35:56,504,0
*** 08:35:57,505,0
*** 08:35:58,506,0
*** 08:35:59,507,0
*** 08:36:00,508,0
*** 08:36:01,509,0
